,count,mean,median,std,variance,minimum,maximum,range,q1,q3,iqr,skewness,kurtosis
quality,611,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
pre_screening,611,0.8985270049099836,1.0,0.30220141558406827,0.09132569558101473,0.0,1.0,1.0,1.0,1.0,0.0,-2.646154357779913,5.018549571927592
ma1,611,45.47299509001637,44.0,27.411386422523286,751.3841056048939,2.0,151.0,149.0,21.0,64.0,43.0,0.5918779790111673,0.05884401459723332
ma2,611,42.94271685761048,42.0,25.444346052693263,647.4147460492072,2.0,132.0,130.0,20.0,61.0,41.0,0.4856288939763695,-0.2851675063211654
ma3,611,40.170212765957444,39.0,23.802407161376934,566.5545866759679,2.0,120.0,118.0,19.0,58.5,39.5,0.39504184068923387,-0.620964035756042
ma4,611,36.216039279869065,34.0,21.860042251509917,477.8614472377988,2.0,105.0,103.0,17.0,54.0,37.0,0.3701441507520398,-0.828359777365447
ma5,611,31.710310965630114,29.0,20.057937598936086,402.32086072281396,1.0,97.0,96.0,14.0,48.0,34.0,0.4240045647846936,-0.8557378072334991
ma6,611,22.965630114566284,20.0,15.598249073260918,243.30537415148507,1.0,89.0,88.0,9.0,36.0,27.0,0.6591675118708691,-0.23752362387770498
exudate1,611,67.28507695417349,40.525739,64.41788633035213,4149.664079270167,1.075534,334.706269,333.630735,20.2862065,96.5828625,76.29665600000001,1.3897602963209712,1.285955358770765
exudate2,611,23.097737911620296,15.296564,23.156333756350023,536.2157930354756,0.004577,167.131427,167.12685,7.366913,30.6226035,23.2556905,2.145476595922662,6.4420587252877795
exudate3,611,9.120730207855974,4.367509,12.379750015509819,153.25821044651536,0.0,91.191324,91.191324,1.172599,11.7384625,10.5658635,2.6421644819022982,9.383863195262743
exudate5,611,0.8928471162029458,0.050761,3.3354694624652903,11.125356535038494,0.0,51.423208,51.423208,0.0,0.3770115,0.3770115,9.016243840973258,108.6555797777587
exudate6,611,0.36271143371522097,0.00393,1.427199238149071,2.0368976653732886,0.0,20.098605,20.098605,0.0,0.10217799999999999,0.10217799999999999,8.52421573684221,93.3544949448204
exudate7,611,0.15490328477905072,0.0,0.5370496729508032,0.2884223512165646,0.0,5.937799,5.937799,0.0,0.0324575,0.0324575,6.037662114911734,46.00907043495861
exudate8,611,0.06704331260229134,0.0,0.2413709723024532,0.05825994627023163,0.0,3.086753,3.086753,0.0,0.009253,0.009253,6.733562088672445,60.16273089131122
macula_opticdisc_distance,611,0.5234354484451719,0.523424,0.027668671857284877,0.0007655554023461083,0.367762,0.588851,0.22108900000000004,0.504014,0.5436695,0.039655500000000066,-0.2535737484411171,0.7009847244146683
opticdisc_diameter,611,0.10791078887070377,0.105675,0.01827244872307263,0.00033388238233731857,0.057906,0.219199,0.16129300000000002,0.09487000000000001,0.1193345,0.024464499999999986,0.7390880148892117,2.0149057421969636
am_fm_classification,611,0.31751227495908346,0.0,0.4658899797266883,0.217053473209734,0.0,1.0,1.0,0.0,1.0,1.0,0.785966798521922,-1.3868064127690647
